peakId,componentRank,rtPeak,intensity,rtStart,rtEnd,halfHeightWidth,reconstructionFraction,supervisionR2,matchedClass,matchSimilarity
JC006_6.47,6,6.47,402388349.37428665,6.46,6.49,0.03000000000000025,0.07727032055509368,0.9390713065710963,Organic acids,0.9688421283589135
JC008_6.50,8,6.5,359543100.4872368,6.48,6.52,0.03999999999999915,0.06518783808670629,0.9987422254960021,Organic acids,0.9712332616846784
JC012_6.51,12,6.51,318306622.58210003,6.49,17.09,10.6,0.07217601083782925,0.9946334505537022,Organic acids,0.9176964029642345
JC003_6.52,3,6.52,373489522.11057675,6.5,6.54,0.040000000000000036,0.0968449351347673,0.9943438920515155,Carbohydrates,0.9328735789213136
JC009_6.52,9,6.52,210867020.1931668,6.49,17.09,10.6,0.0625850368975052,0.997704257079928,Organic acids,0.9265660276305263
JC001_6.54,1,6.54,285698021.82514584,6.5,6.55,0.04999999999999982,0.08263734276866641,0.9879649661764309,Organic acids,0.9439819587518432
JC005_9.47,5,9.47,514156288.27279985,9.45,17.28,7.830000000000002,0.16187604156747584,0.9941898872465246,Carbohydrates,0.9713520649022382
JC004_12.63,4,12.63,162495589.8881332,6.5,17.27,10.77,0.08440063077050132,0.9866923441523722,Carbohydrates,0.9330553766281926
JC010_17.07,10,17.07,205172521.8781242,6.48,17.27,10.79,0.07833844883707093,0.9076057802936818,Carbohydrates,0.9634968835079252
JC007_17.12,7,17.12,182589226.5844655,6.5,17.29,10.79,0.057749660239045895,0.989289274433552,Carbohydrates,0.9821204080704677
JC011_17.28,11,17.28,328627113.66971034,17.06,17.29,0.23000000000000043,0.08063250330587278,0.9846988030166296,Carbohydrates,0.9855992452519078
JC002_18.92,2,18.92,535142898.7937011,18.9,18.93,0.030000000000001137,0.0803012309994651,0.997894243204775,Carbohydrates,0.943503965837668
