peakId,B_plate1_run1_10302020,B_plate1_run2_10302020,B_plate1_run3_10302020,B_plate2_run1_10302020,B_plate2_run2_10302020,B_plate2_run3_10302020,B_plate3_run1_10302020,B_plate3_run2_10302020,B_plate3_run3_10302020,L_plate1_run1_10302020,L_plate1_run2_10302020,L_plate1_run3_10302020,L_plate2_run1_10302020,L_plate2_run2_10302020,L_plate2_run3_10302020,L_plate3_run1_10302020,L_plate3_run2_10302020,L_plate3_run3_10302020,M_plate1_run1_10302020,M_plate1_run2_10302020,M_plate1_run3_10302020,M_plate2_run1_10302020,M_plate2_run2_10302020,M_plate2_run3_10302020,M_plate3_run1_10302020,M_plate3_run2_10302020,M_plate3_run3_10302020,P_plate1_run1_10302020,P_plate1_run2_10302020,P_plate1_run3_10302020,P_plate2_run1_10302020,P_plate2_run2_10302020,P_plate2_run3_10302020,P_plate3_run1_10302020,P_plate3_run2_10302020,P_plate3_run3_10302020
6.11,2302569.2381914994,2498680.473347547,3083696.565418435,2307981.0574538857,2423626.791205677,3321143.710709155,2409498.269333318,2540601.432191515,3248544.9671276943,2503516.249588671,2469299.133517724,2589135.5043475186,2418670.5421064026,2495723.986439718,3317721.7139929137,2399253.082666666,3334336.9032766377,3288996.040212803,2051767.3380567457,2442467.0293333484,2950695.982914852,2203958.8281701733,2431484.547475178,3041396.6164822187,2354878.0117517877,3207041.4685390014,3143811.2800000147,1663341.4520070956,2432259.4598652525,3179215.689808462,2289416.821333296,2473177.733333303,1300890.4377943312,2274536.7626666585,2458913.868475143,3108553.5120000145
6.17,2789939.567999975,2797257.470070918,3639781.3059432264,2696111.338666695,2798228.7160709575,3748871.869808536,2764040.044283701,2892595.066666661,3635292.8826666838,2850195.6120567387,2821893.637787245,3354456.5893759117,2813551.9132624203,2852090.1820709184,3724988.816000013,2790558.977503597,3836091.8026666366,3760415.05258864,2562512.7493333397,2851721.334751784,3473110.8906667125,2698081.7773120953,2836422.864000032,3535024.0826950837,2776317.325900688,3738527.450666726,3633574.575390087,2553660.6159999995,2822261.4780000113,3694055.101333373,2752572.7473617047,2885077.370269514,2568651.946666657,2689737.428028425,2876275.240212811,3619755.583333371
6.34,24319200.454467904,32016771.48533306,33898663.60799894,24493815.30483009,32243618.366596784,35705739.42609293,22969458.92190774,28841371.464815255,27467955.885786746,25749520.422582217,31161918.135702297,29228003.84924837,20293949.868779965,25436421.31020562,27679159.733871993,23314642.134085234,31763010.567828953,30394413.23883659,886548.9257021272,1325713.4748652591,1350710.953546107,999740.8885673777,1361488.9860283725,1480454.0106666773,968461.4266666558,1430957.003517739,1489900.6807659478,24556391.729617145,38311851.36799967,42129613.98400044,32824387.055121478,46019761.051184244,20062405.399559755,31475271.91289387,42802891.07127635,44609413.502240844
6.51,214235346.6046237,223618116.42604354,248741810.11217,194646752.01812205,222120979.1690788,232005410.0270782,201984549.26848236,241565583.16446826,245923839.48928413,244870022.83356807,265111005.89855376,252696830.35439026,221351167.8365399,246271218.81408623,260778985.01214314,191299062.15497172,244196071.61925697,246339012.6697024,48226365.10629724,71408206.93380105,71041037.58212751,52736841.87668152,72505810.14936289,77204376.4048673,60555504.18456129,70426238.87580192,72446239.37326993,238137745.1151912,288345825.7208662,302953969.5861688,260874574.27203545,296437806.0680713,229287442.0809361,275983745.69980943,308432913.98924136,308632469.6430996
6.58,4145325.5549503416,6192075.869333374,6182372.6346667195,4670727.40533329,6603534.322000051,7153544.863446853,4630281.61489369,5988177.467773106,5620922.686560307,5276517.067312151,6529291.982496521,6482107.602347486,4741689.915333392,6727895.640000032,7013753.195836964,4856175.558638339,6409828.929461028,6251436.629333382,1637672.3780992397,5586937.530496415,3572598.3877090937,3749033.696794338,6359824.117772965,6992010.170666672,5592816.805333424,6831990.542354638,7231346.61529088,4852541.204950345,6009120.970666716,7075957.901843987,5116531.709205699,6674636.9046809375,4868623.94867371,4895102.654042605,6450598.101595796,6266522.550936083
6.68,1487318.421333323,1666274.1633758852,1841813.4506666593,1320770.6266666714,1787941.8611347554,1842944.025730497,1309633.881475171,1766371.367999979,1797878.0053333135,1463432.6814184436,1787589.2006099354,1781232.9693333409,1452549.9243120563,1862190.2771773033,1946365.7306666542,1707437.4076453904,2501978.7119999737,2425831.8986666156,1206609.0666666646,1716164.1653404327,1665227.581333333,1255955.6228723486,1714039.3440000033,1786564.6473475157,1489012.359347504,1743677.9959645404,1731067.0230780041,1372681.3432198626,1713888.9146666648,1829744.8586666668,1398638.2689787222,1892051.825014182,1575217.8936312026,1358386.2638723408,1783273.3272340423,1908583.5651914675
6.89,3857105.356780138,4942625.138382935,4860058.997078001,3544836.835978713,4237187.777680855,4554087.3430354465,3381130.0497730398,4955364.3873758605,4423658.664964537,4087533.5899149044,4638082.114709195,5540808.6013829885,4015974.552042539,4595520.313595716,4676572.873446786,3633791.9227233976,5425739.687588622,5427900.737716286,3123616.9937801487,3976117.4432766014,4001357.9378297883,2864421.3564964463,3822569.0717730327,4281039.901070902,3518344.893702124,4063854.8956524674,4204614.462851046,3783659.43590072,4338617.549290771,4422352.021836881,4121176.585333315,4596038.88761701,4114401.214638303,3438419.424652477,4268945.3973333165,4522717.015581548
7.05,15144653.807638027,19233896.420765508,20554724.423319023,14289357.917758692,19488380.898567393,20865245.706354238,13824774.704801302,17889322.105929047,18995533.29366661,20733136.01063831,25361648.738417983,26034112.747120798,15926876.309333196,20919080.29967343,22094997.59133309,13521030.834411189,19162235.51971627,19308997.02583668,4008533.1919149375,6121337.243411298,6021056.317234096,5224981.291858065,7390853.388311859,7941540.972822514,5048005.970148947,6349640.426567329,6512257.166269373,17705028.220113583,24354529.4830705,27306111.955120273,18378042.163503416,25297332.47625506,20224143.08531906,19036600.0253828,26132342.986666314,27849875.736878984
7.15,877211.4565532005,1116284.995092212,1188384.8795744753,790223.7735319256,1085120.8534609973,1151793.8931631253,789571.9794255377,1077032.4300283813,1095867.0455744718,1462389.5609645494,1772156.4895886763,1754678.4782411396,1202572.801078035,1598267.528170239,1691664.2578510789,996054.2709574592,1502971.5249361913,1471118.8526525062,427580.41435460927,586931.9523191478,552499.1893617,432163.0817588634,581058.7086028354,623029.5203333325,552605.060219858,617847.7887234048,622319.9650638292,946361.836283693,1271886.4386099516,1443539.004539003,1034073.2000709322,1397549.4301986145,1080143.61480849,1026264.6870567517,1408919.1191489585,1522322.4853333572
7.21,505312.7893333342,594120.4841418446,611334.4517446813,426053.11466666596,577629.627404253,591892.9868014186,438550.82533333555,581544.618666666,585805.1534609959,635678.5320709219,782389.9048368841,821086.1692624071,600410.3743404248,780345.9285390116,832004.8015744664,400502.0750212771,597909.0839290791,569783.1772340426,379038.5633191479,516610.9512624117,479767.01089361706,365504.09721985797,505308.1216028376,529345.589780142,445562.332482269,504626.4228865246,498453.8108936168,777439.8275035426,972690.0038581628,1041064.5100141797,658672.3986382948,852427.1145815552,857248.9503404202,679737.8601702169,866848.0772056717,912436.788361708
