peakId,rtPeak,intensity,rtStart,rtEnd,halfHeightWidth
6.11,6.11,31527498.781142157,6.1,6.13,0.02398945046988274
6.17,6.17,33835411.172595754,6.15,6.19,0.02819251645688116
6.34,6.34,246019580.81208432,6.32,6.36,0.03321536821002255
6.51,6.51,1271188991.2525048,6.47,6.54,0.0595240507733854
6.58,6.58,58570869.70228368,6.56,6.59,0.018525483791952412
6.68,6.68,14451364.548340423,6.66,6.7,0.024843854311942692
6.89,6.89,26955646.523581564,6.85,6.91,0.058330261942068376
7.05,7.05,207642841.48716906,7.03,7.07,0.027348973784962143
7.15,7.15,12153930.953900846,7.14,7.17,0.025018417723726004
7.21,7.21,6401497.414184399,7.19,7.22,0.019689352979757758
7.27,7.27,26376509.536723718,7.25,7.29,0.02750275155522701
7.43,7.43,12832122.211390011,7.41,7.45,0.02959734374434021
7.51,7.51,9198859.445205696,7.49,7.52,0.021350502612258425
7.58,7.58,824266563.6600084,7.56,7.6,0.029017900350530396
7.69,7.69,13211477.496198777,7.67,7.7,0.023407826646359525
7.73,7.73,12853701.663879378,7.71,7.74,0.02224091802189122
7.84,7.84,11162357.181645436,7.82,7.85,0.023063374212551082
7.87,7.87,9964540.149326237,7.86,7.88,0.011232234685521689
8.02,8.02,81731074.50713266,8.0,8.04,0.03251997044831484
8.12,8.12,33506927.748858828,8.1,8.14,0.026623273574122665
8.24,8.24,11834148.61204965,8.22,8.26,0.026905630080717346
8.29,8.29,7852715.364014201,8.28,8.3,0.01764984088055968
8.42,8.42,14653918.582709257,8.4,8.43,0.025813525177219673
8.63,8.63,534040387.7082882,8.61,8.65,0.02566390401090132
8.86,8.86,290414984.798848,8.84,8.9,0.043118010744423715
9.01,9.01,30504330.019808497,9.0,9.03,0.020058785795651488
9.05,9.05,37335163.57853225,9.03,9.07,0.026685038012945483
9.2,9.2,16636707.894439885,9.16,9.21,0.040964329250267044
9.25,9.25,9807875.713773064,9.24,9.27,0.021346451175733704
9.35,9.35,37197606.95661616,9.34,9.37,0.020300708276921
9.4,9.4,518612258.20721817,9.39,9.42,0.02399471480052114
9.46,9.46,1175437833.431121,9.44,9.48,0.03051335458460983
9.62,9.62,9126301.315751769,9.6,9.63,0.02113342198557632
9.71,9.71,501447018.83759975,9.69,9.72,0.024838981866064955
9.74,9.74,125894257.74506474,9.73,9.75,0.014122068796496023
9.88,9.88,458357267.03464335,9.86,9.9,0.025632224879621503
9.99,9.99,50930154.69463851,9.97,10.01,0.03676747192408243
10.11,10.11,7235040.608021291,10.09,10.13,0.03655017737486674
10.24,10.24,30238795.630113523,10.22,10.26,0.030062486025456678
10.3,10.3,11344194.456390042,10.29,10.31,0.01679809894289804
10.34,10.34,12399883.740893573,10.33,10.36,0.020167246332119932
10.49,10.49,14609113.223758867,10.48,10.51,0.02385056307818104
10.55,10.55,8933667.516311964,10.53,10.56,0.0192820766953821
10.63,10.63,420276882.27429324,10.61,10.65,0.02507025311285304
10.83,10.83,12778985.21939005,10.81,10.84,0.024665129435838366
10.91,10.91,7157886.580716324,10.89,10.94,0.034354189943334744
11.0,11.0,691676353.5083971,10.98,11.02,0.026161487919094954
11.06,11.06,11958740.747354703,11.05,11.08,0.019935593508159287
11.17,11.17,21700900.53338297,11.16,11.19,0.025226075659828668
11.22,11.22,10439312.591063682,11.21,11.24,0.019073126936098108
11.28,11.28,14977089.85103569,11.26,11.3,0.03001570998205125
11.34,11.34,22094180.242716245,11.32,11.35,0.025300960905176452
11.46,11.46,23001309.282042585,11.44,11.48,0.02593837009623371
11.66,11.66,6971503.5749574695,11.65,11.68,0.023876019150015963
11.72,11.72,12514353.836418144,11.71,11.74,0.027823705742839593
11.85,11.85,23464239.633942112,11.83,11.86,0.023854252562224475
11.9,11.9,15455129.973560281,11.89,11.92,0.025103483983157277
11.97,11.97,211204522.06984094,11.95,11.99,0.02664344887237121
12.06,12.06,43333508.40463146,12.04,12.08,0.027038709023300952
12.23,12.23,30964803.755283467,12.21,12.24,0.018934741902319276
12.28,12.28,78183028.31282248,12.26,12.3,0.03176981702632133
12.4,12.4,14086839.287900547,12.38,12.41,0.024103665953722386
12.44,12.44,11296247.002915073,12.43,12.46,0.019062019388824184
12.5,12.5,64994391.27536896,12.48,12.52,0.026692586207112755
12.55,12.55,13938018.938283686,12.54,12.56,0.0076877049886923034
12.68,12.68,1023818266.4496256,12.65,12.7,0.03898277142564439
12.74,12.74,31143019.486425538,12.72,12.76,0.027153350010552232
12.9,12.9,37776659.05666677,12.89,12.93,0.02918171647514555
13.04,13.04,26168252.674013924,13.03,13.06,0.020878585429223905
13.09,13.09,99212669.90508482,13.07,13.11,0.0276530192173891
13.32,13.32,37670890.27692857,13.3,13.33,0.02706842347419638
13.45,13.45,11848739.467063978,13.43,13.46,0.027412125079246154
13.56,13.56,30409903.321929496,13.55,13.58,0.019698863457615515
13.61,13.61,39482714.51015578,13.59,13.63,0.031293713248475116
13.7,13.7,13699414.069624046,13.68,13.72,0.021643659909050258
13.77,13.77,43013108.365723036,13.76,13.79,0.019749378730195985
13.85,13.85,618680028.3342693,13.82,13.86,0.030516028500943548
13.92,13.92,343742319.2719071,13.9,13.94,0.026889616552163036
14.02,14.02,11322495.600149041,14.0,14.03,0.024681101945287765
14.08,14.08,9507238.268560288,14.06,14.1,0.02801461908161059
14.23,14.23,18306218.6883762,14.22,14.25,0.02347311455557019
14.28,14.28,28139316.66175101,14.27,14.3,0.025560697623543547
14.33,14.33,16465281.67135458,14.32,14.35,0.020896708411255533
14.43,14.43,157338964.04275817,14.41,14.45,0.029001079598016306
14.48,14.48,42131910.13865274,14.47,14.49,0.010780512969378151
14.66,14.66,17536940.75844681,14.64,14.67,0.02274178297751405
14.75,14.75,82082476.6786029,14.73,14.78,0.04468886518168688
14.82,14.82,65613321.69941073,14.8,14.84,0.02182362321033679
14.87,14.87,11722912.735992992,14.86,14.89,0.0236365816721343
14.93,14.93,24024009.26528368,14.91,14.95,0.021847360893747236
14.99,14.99,96392110.37531772,14.97,15.0,0.025973059429710475
15.18,15.18,205871590.1540558,15.16,15.2,0.02778803522716544
15.26,15.26,8681653.912539007,15.25,15.28,0.02702021452268582
