classCol,mz50,mz51,mz52,mz53,mz54,mz55,mz56,mz57,mz58,mz59,mz60,mz61,mz62,mz63,mz64,mz65,mz66,mz67,mz68,mz69,mz70,mz71,mz72,mz73,mz74,mz75,mz76,mz77,mz78,mz79,mz80,mz81,mz82,mz83,mz84,mz85,mz86,mz87,mz88,mz89,mz90,mz91,mz92,mz93,mz94,mz95,mz96,mz97,mz98,mz99,mz100,mz101,mz102,mz103,mz104,mz105,mz106,mz107,mz108,mz109,mz110,mz111,mz112,mz113,mz114,mz115,mz116,mz117,mz118,mz119,mz120,mz121,mz122,mz123,mz124,mz125,mz126,mz127,mz128,mz129,mz130,mz131,mz132,mz133,mz134,mz135,mz136,mz137,mz138,mz139,mz140,mz141,mz142,mz143,mz144,mz145,mz146,mz147,mz148,mz149,mz150,mz151,mz152,mz153,mz154,mz155,mz156,mz157,mz158,mz159,mz160,mz161,mz162,mz163,mz164,mz165,mz166,mz167,mz168,mz169,mz170,mz171,mz172,mz173,mz174,mz175,mz176,mz177,mz178,mz179,mz180,mz181,mz182,mz183,mz184,mz185,mz186,mz187,mz188,mz189,mz190,mz191,mz192,mz193,mz194,mz195,mz196,mz197,mz198,mz199,mz200,mz201,mz202,mz203,mz204,mz205,mz206,mz207,mz208,mz209,mz210,mz211,mz212,mz213,mz214,mz215,mz216,mz217,mz218,mz219,mz220,mz221,mz222,mz223,mz224,mz225,mz226,mz227,mz228,mz229,mz230,mz231,mz232,mz233,mz234,mz235,mz236,mz237,mz238,mz239,mz240,mz241,mz242,mz243,mz244,mz245,mz246,mz247,mz248,mz249,mz250,mz251,mz252,mz253,mz254,mz255,mz256,mz257,mz258,mz259,mz260,mz261,mz262,mz263,mz264,mz265,mz266,mz267,mz268,mz269,mz270,mz271,mz272,mz273,mz274,mz275,mz276,mz277,mz278,mz279,mz280,mz281,mz282,mz283,mz284,mz285,mz286,mz287,mz288,mz289,mz290,mz291,mz292,mz293,mz294,mz295,mz296,mz297,mz298,mz299,mz300,mz301,mz302,mz303,mz304,mz305,mz306,mz307,mz308,mz309,mz310,mz311,mz312,mz313,mz314,mz315,mz316,mz317,mz318,mz319,mz320,mz321,mz322,mz323,mz324,mz325,mz326,mz327,mz328,mz329,mz330,mz331,mz332,mz333,mz334,mz335,mz336,mz337,mz338,mz339,mz340,mz341,mz342,mz343,mz344,mz345,mz346,mz347,mz348,mz349,mz350,mz351,mz352,mz353,mz354,mz355,mz356,mz357,mz358,mz359,mz360,mz361,mz362,mz363,mz364,mz365,mz366,mz367,mz368,mz369,mz370,mz371,mz372,mz373,mz374,mz375,mz376,mz377,mz378,mz379,mz380,mz381,mz382,mz383,mz384,mz385,mz386,mz387,mz388,mz389,mz390,mz391,mz392,mz393,mz394,mz395,mz396,mz397,mz398,mz399,mz400,mz401,mz402,mz403,mz404,mz405,mz406,mz407,mz408,mz409,mz410,mz411,mz412,mz413,mz414,mz415,mz416,mz417,mz418,mz419,mz420,mz421,mz422,mz423,mz424,mz425,mz426,mz427,mz428,mz429,mz430,mz431,mz432,mz433,mz434,mz435,mz436,mz437,mz438,mz439,mz440,mz441,mz442,mz443,mz444,mz445,mz446,mz447,mz448,mz449,mz450,mz451,mz452,mz453,mz454,mz455,mz456,mz457,mz458,mz459,mz460,mz461,mz462,mz463,mz464,mz465,mz466,mz467,mz468,mz469,mz470,mz471,mz472,mz473,mz474,mz475,mz476,mz477,mz478,mz479,mz480,mz481,mz482,mz483,mz484,mz485,mz486,mz487,mz488,mz489,mz490,mz491,mz492,mz493,mz494,mz495,mz496,mz497,mz498,mz499,mz500,mz501,mz502,mz503,mz504,mz505,mz506,mz507,mz508,mz509,mz510,mz511,mz512,mz513,mz514,mz515,mz516,mz517,mz518,mz519,mz520,mz521,mz522,mz523,mz524,mz525,mz526,mz527,mz528,mz529,mz530,mz531,mz532,mz533,mz534,mz535,mz536,mz537,mz538,mz539,mz540,mz541,mz542,mz543,mz544,mz545,mz546,mz547,mz548,mz549,mz550,mz551,mz552,mz553,mz554,mz555,mz556,mz557,mz558,mz559,mz560,mz561,mz562,mz563,mz564,mz565,mz566,mz567,mz568,mz569,mz570,mz571,mz572,mz573,mz574,mz575,mz576,mz577,mz578,mz579,mz580,mz581,mz582,mz583,mz584,mz585,mz586,mz587,mz588,mz589,mz590,mz591,mz592,mz593,mz594,mz595,mz596,mz597,mz598,mz599
Carbohydrates,0,0,0,0,0,6,0,0,8,46,0,5,0,0,0,0,0,0,0,0,5,0,19,1000,84,69,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,18,18,11,655,61,37,0,0,0,0,0,0,0,5,9,7,6,58,6,8,0,0,0,0,0,0,0,0,0,34,9,25,0,71,9,6,0,0,0,0,0,0,0,12,0,7,0,255,40,25,0,0,0,0,0,0,0,0,6,0,77,17,0,12,0,0,0,0,0,0,0,0,0,7,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,86,17,30,5,0,0,0,0,0,0,0,0,0,0,5,40,56,12,8,0,0,0,0,0,0,0,0,9,355,72,32,5,11,0,0,0,0,0,0,0,0,0,10,5,25,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,16,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,71,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nucleic acids,0,0,12,101,18,18,0,0,12,51,9,32,0,0,0,0,0,0,9,0,8,16,0,1000,100,484,37,32,0,0,15,877,48,6,0,17,0,7,0,6,0,6,0,0,0,0,0,12,5,22,0,14,0,39,6,12,0,0,0,6,0,27,0,25,0,35,0,10,0,18,0,18,0,9,0,0,0,41,0,41,0,15,0,216,32,80,0,37,0,0,0,12,0,31,0,5,0,68,0,0,0,15,0,13,0,294,33,15,0,0,0,0,0,0,0,10,0,17,0,305,387,120,28,0,0,0,0,0,0,0,0,50,6,18,0,0,0,0,0,0,0,16,0,21,0,40,0,21,0,0,0,0,0,0,0,0,0,0,0,10,0,751,103,61,0,0,0,0,0,0,0,0,0,0,0,57,0,143,24,13,0,0,0,0,0,0,0,6,0,0,0,14,0,326,53,29,0,0,0,0,0,0,0,59,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,357,92,44,0,0,0,0,0,0,0,0,0,0,0,0,0,267,65,39,10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipids,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,727,57,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,9,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,116,10,22,0,31,0,0,0,0,0,0,0,0,0,13,0,0,0,221,35,24,0,0,0,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,72,6,10,0,0,0,0,0,0,0,0,0,7,51,40,0,0,0,0,0,0,0,0,0,6,0,423,103,45,0,16,0,0,0,0,0,0,0,21,23,19,0,0,0,0,0,0,0,0,0,0,0,83,16,19,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,0,0,0,0,0,0,0,0,0,134,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,64,15,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,316,157,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,48,22,0,0,0,0,0,0,0,0,0,0,0,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptides,0,0,0,0,11,13,5,9,17,145,13,11,0,0,0,0,0,0,0,0,0,8,27,876,77,100,6,0,0,0,0,0,0,0,0,10,184,21,10,5,0,0,0,0,0,5,0,0,0,31,144,24,17,10,0,0,0,0,0,0,0,0,0,8,11,12,24,33,6,11,0,0,0,0,0,0,0,0,0,8,115,59,20,188,28,14,0,0,0,0,0,0,9,0,8,0,28,443,71,36,0,0,0,0,0,0,0,0,9,0,41,8,0,0,0,0,0,0,0,0,0,0,23,20,1000,184,82,9,0,0,0,0,0,0,0,0,0,0,14,6,10,0,0,0,0,0,0,0,0,0,0,0,6,0,12,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,807,205,103,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,218,60,29,6,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptides,0,0,0,0,0,24,9,6,12,32,0,9,0,0,0,0,7,0,0,0,18,6,26,728,63,145,9,6,0,0,0,0,0,0,31,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,37,0,0,0,0,0,0,0,0,10,11,7,8,0,10,0,0,0,0,0,0,0,0,0,0,22,20,11,27,6,36,5,0,0,0,0,0,0,0,11,0,16,6,0,382,57,34,0,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,173,83,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,56,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,33,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptides,0,0,0,0,11,13,5,9,17,145,13,11,0,0,0,0,0,0,0,0,0,8,27,876,77,100,6,0,0,0,0,0,0,0,0,10,184,21,10,5,0,0,0,0,0,5,0,0,0,31,144,24,17,10,0,0,0,0,0,0,0,0,0,8,11,12,24,33,6,11,0,0,0,0,0,0,0,0,0,8,115,59,20,188,28,14,0,0,0,0,0,0,9,0,8,0,28,443,71,36,0,0,0,0,0,0,0,0,9,0,41,8,0,0,0,0,0,0,0,0,0,0,23,20,1000,184,82,9,0,0,0,0,0,0,0,0,0,0,14,6,10,0,0,0,0,0,0,0,0,0,0,0,6,0,12,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,807,205,103,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,218,60,29,6,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptides,0,0,0,0,0,24,9,6,12,32,0,9,0,0,0,0,7,0,0,0,18,6,26,728,63,145,9,6,0,0,0,0,0,0,31,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,37,0,0,0,0,0,0,0,0,10,11,7,8,0,10,0,0,0,0,0,0,0,0,0,0,22,20,11,27,6,36,5,0,0,0,0,0,0,0,11,0,16,6,0,382,57,34,0,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,173,83,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,56,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,33,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic acids,0,5,0,31,8,653,34,188,10,19,5,21,0,0,0,18,6,191,24,513,33,115,13,525,49,364,25,74,14,190,25,422,46,1000,79,35,0,0,0,15,0,208,36,228,48,229,56,213,19,9,0,21,0,24,12,245,45,218,39,136,31,27,0,7,0,36,17,88,27,232,103,142,28,74,14,7,0,9,23,725,115,162,45,255,45,84,12,36,10,122,14,17,18,118,38,231,54,180,28,46,7,14,0,5,5,46,17,89,50,239,54,106,17,28,9,15,6,8,8,36,11,53,20,111,24,33,7,13,9,8,0,15,12,21,8,50,16,42,15,39,6,10,0,7,0,12,16,30,10,63,17,42,9,16,0,7,0,10,0,6,0,38,17,128,35,92,24,24,0,7,0,5,0,0,0,18,9,34,37,26,5,10,0,5,0,0,0,0,0,32,19,34,12,34,6,7,0,0,0,0,0,0,0,85,38,345,73,42,8,0,0,0,0,0,0,0,0,29,7,7,0,52,12,14,0,0,0,0,0,0,0,30,42,36,8,6,0,0,0,0,0,0,0,0,0,16,11,0,0,0,5,9,0,5,0,0,0,0,0,19,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,13,13,7,0,0,0,0,0,0,0,0,0,0,11,43,27,13,0,0,0,0,0,107,42,20,62,111,27,9,0,0,0,0,0,0,0,9,11,0,0,0,0,5,31,11,0,0,0,0,0,84,25,0,0,0,0,0,8,0,0,0,0,0,0,0,211,66,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,150,59,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptides,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,5,275,25,10,0,0,0,0,0,0,0,0,0,0,56,6,0,0,0,0,0,0,0,0,0,0,0,13,32,6,5,0,0,0,0,0,0,0,0,0,0,0,11,5,10,8,0,0,0,0,0,0,0,0,12,0,8,0,30,16,7,0,0,0,0,0,0,0,0,0,17,0,5,0,23,0,0,0,0,0,0,0,0,0,0,0,8,0,5,5,0,0,0,0,0,0,0,0,0,0,48,18,1000,182,79,8,0,0,0,0,0,0,0,0,5,12,6,0,0,0,0,0,0,0,0,0,0,0,53,11,5,0,0,0,0,0,0,0,0,0,0,0,103,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic acids,0,0,0,0,20,117,9,8,27,68,10,22,0,0,0,0,0,0,0,0,7,0,29,1000,96,301,21,15,0,0,0,0,22,0,28,0,5,0,0,107,8,8,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,49,5,0,7,0,7,0,0,0,0,0,0,0,0,34,7,7,13,0,10,0,30,0,0,0,0,0,0,0,0,0,0,22,0,0,269,40,26,0,0,0,0,16,0,141,18,10,0,0,0,0,0,0,0,0,0,0,0,39,6,17,7,5,0,0,0,0,0,0,0,5,5,0,0,70,9,0,0,0,0,0,0,0,0,0,0,202,29,12,16,62,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,20,0,0,0,0,0,0,0,0,80,18,7,0,17,0,27,0,0,0,0,0,0,0,0,0,76,18,8,53,5,90,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
